ProductGroup	SalesChannel	Date	Quantity
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-20	70
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-21	62
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-22	67
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-23	74
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-24	91
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-25	28
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-26	55
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-27	60
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-28	53
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-29	70
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-30	70
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-01-31	101
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-01	22
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-02	73
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-03	57
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-04	41
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-05	34
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-06	45
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-07	52
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-08	19
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-09	43
MOB. TEL. PROSTA PRODAJA	Fizične poslovalnice	2015-02-10	57